crop_type,growth_stage,soil_moisture,air_humidity,temperature,irrigate
chili,fruiting,30.7,65.8,29.2,0
okra,vegetative,50.7,76.9,25.3,1
chili,flowering,41.2,77.7,23.0,1
tomato,fruiting,53.3,68.8,33.9,1
tomato,fruiting,66.7,71.3,31.2,0
chili,flowering,49.8,74.3,30.7,1
okra,flowering,54.4,77.0,24.2,0
tomato,fruiting,63.7,98.0,22.2,0
okra,seedling,58.6,82.0,24.5,0
chili,vegetative,15.5,69.1,31.8,1
tomato,flowering,52.9,65.3,35.3,1
tomato,seedling,27.5,63.4,30.9,1
chili,flowering,45.5,88.0,22.3,0
tomato,fruiting,57.9,88.4,24.2,0
tomato,seedling,72.6,93.5,29.6,0
chili,fruiting,61.6,70.3,31.7,0
okra,vegetative,52.8,70.2,35.4,0
tomato,fruiting,51.0,98.0,22.0,1
tomato,flowering,64.8,91.7,23.4,0
tomato,seedling,50.6,96.4,17.7,0
chili,flowering,45.0,72.6,32.9,1
okra,seedling,63.8,57.7,31.7,0
okra,seedling,42.2,79.8,31.6,0
okra,fruiting,61.3,81.2,27.1,0
okra,fruiting,59.5,48.2,32.3,0
tomato,seedling,44.6,91.3,21.5,1
tomato,vegetative,71.6,73.0,31.6,1
chili,seedling,54.8,74.9,28.4,0
okra,vegetative,51.4,74.2,31.3,0
okra,fruiting,39.3,59.8,32.7,1
tomato,seedling,46.0,65.8,29.0,1
tomato,flowering,50.5,71.8,30.1,1
tomato,fruiting,65.6,81.7,26.4,0
tomato,fruiting,44.6,60.4,33.9,1
chili,vegetative,51.1,70.7,34.2,1
chili,flowering,27.6,83.6,23.2,1
chili,vegetative,42.1,69.8,32.0,0
tomato,seedling,59.5,96.2,20.7,0
okra,seedling,84.2,52.3,33.7,0
chili,flowering,25.7,83.4,22.0,1
okra,flowering,70.6,61.6,34.4,0
okra,flowering,52.1,87.9,29.4,0
tomato,fruiting,63.8,80.4,28.5,0
tomato,flowering,59.7,53.7,32.7,0
okra,vegetative,56.2,42.7,33.2,1
chili,vegetative,42.8,83.1,27.8,0
tomato,fruiting,78.4,69.7,30.8,0
chili,fruiting,38.6,79.6,30.4,0
chili,seedling,60.9,79.0,24.9,0
okra,fruiting,41.0,93.8,22.5,0
tomato,seedling,57.2,90.0,25.4,0
okra,fruiting,35.0,63.5,32.3,1
okra,flowering,56.4,63.5,32.4,0
tomato,flowering,78.2,74.2,29.4,0
tomato,flowering,56.9,65.5,34.3,0
chili,flowering,42.2,63.4,33.6,1
tomato,vegetative,42.4,70.2,33.7,0
tomato,fruiting,54.8,78.2,26.4,0
chili,flowering,22.7,81.8,22.6,1
okra,flowering,37.2,81.4,32.0,0
okra,vegetative,53.2,65.6,31.1,0
tomato,seedling,76.5,66.8,30.7,0
okra,flowering,88.0,68.2,31.5,0
tomato,vegetative,49.8,67.9,32.0,1
okra,flowering,70.1,61.9,33.2,0
okra,vegetative,53.4,76.6,28.3,0
okra,fruiting,47.9,64.7,33.0,0
tomato,flowering,64.1,62.7,34.4,1
okra,vegetative,50.9,45.3,34.3,1
tomato,flowering,59.5,98.0,23.8,0
chili,flowering,39.3,67.0,31.8,0
chili,flowering,25.4,79.8,28.7,1
tomato,flowering,36.4,53.0,34.0,1
tomato,fruiting,67.1,68.2,30.4,0
okra,vegetative,46.1,62.0,32.3,0
chili,vegetative,36.7,82.2,30.2,1
chili,vegetative,45.1,60.0,33.4,0
chili,flowering,56.1,94.9,23.2,0
chili,fruiting,47.5,59.9,33.2,1
okra,flowering,40.8,60.1,33.7,1
tomato,seedling,75.2,88.6,22.9,0
okra,fruiting,72.1,98.0,21.7,0
okra,fruiting,56.9,67.8,26.6,0
chili,vegetative,58.6,57.7,32.2,1
tomato,seedling,75.4,55.9,31.2,0
tomato,vegetative,73.8,72.0,27.2,0
okra,fruiting,58.6,65.2,30.6,0
okra,flowering,58.4,55.5,32.3,0
tomato,seedling,65.3,60.9,32.6,0
tomato,seedling,42.6,66.8,26.6,1
tomato,fruiting,67.8,81.7,23.5,0
tomato,vegetative,39.0,88.6,26.9,1
okra,flowering,38.9,75.9,29.8,1
okra,vegetative,68.2,90.1,23.5,0
tomato,seedling,69.8,74.0,26.6,0
okra,vegetative,70.8,75.9,24.3,0
tomato,flowering,54.2,54.6,34.0,1
chili,vegetative,28.9,74.6,29.0,1
chili,flowering,41.6,74.0,31.8,1
okra,vegetative,51.4,81.5,28.9,0
okra,vegetative,51.1,70.8,32.5,0
tomato,vegetative,73.9,65.3,30.8,0
tomato,vegetative,52.9,70.6,30.8,0
tomato,vegetative,62.9,77.5,27.1,0
tomato,flowering,44.2,73.1,29.2,0
okra,vegetative,56.3,76.2,34.2,1
okra,flowering,50.0,63.2,28.8,0
tomato,vegetative,47.5,66.7,31.7,1
okra,vegetative,46.7,85.6,28.1,1
chili,fruiting,42.4,85.1,20.9,0
chili,fruiting,41.2,62.5,32.2,1
chili,vegetative,69.8,76.2,27.0,0
tomato,vegetative,56.6,67.2,31.5,0
okra,flowering,46.6,72.9,25.4,1
tomato,seedling,28.6,88.8,25.2,1
tomato,vegetative,45.5,83.9,27.3,1
tomato,flowering,54.3,98.0,20.4,0
tomato,flowering,48.4,57.6,33.5,1
tomato,seedling,77.3,92.9,22.1,0
tomato,seedling,55.7,69.7,28.6,1
okra,vegetative,68.0,86.2,23.6,0
okra,seedling,50.9,98.0,24.5,0
tomato,flowering,58.5,76.3,28.7,1
tomato,fruiting,56.8,62.0,30.9,1
chili,vegetative,45.1,79.5,27.7,1
okra,vegetative,74.1,72.2,26.3,0
okra,seedling,17.5,63.2,30.4,1
okra,seedling,22.0,65.2,30.0,1
chili,flowering,37.4,83.1,24.5,1
chili,vegetative,45.2,76.7,30.9,0
tomato,flowering,67.7,95.7,22.3,0
okra,flowering,56.6,91.2,24.0,0
okra,fruiting,44.6,69.5,28.1,0
tomato,seedling,72.3,88.4,22.1,0
okra,flowering,64.4,67.7,32.7,0
tomato,fruiting,60.6,55.6,35.0,1
okra,vegetative,63.5,76.7,27.5,0
okra,seedling,53.8,70.4,32.1,1
tomato,vegetative,50.1,61.5,33.4,1
chili,fruiting,54.8,68.7,32.2,1
tomato,fruiting,59.5,80.0,31.4,0
chili,vegetative,45.0,71.6,29.9,0
okra,seedling,70.6,98.0,22.0,0
tomato,vegetative,23.7,77.3,29.6,1
chili,seedling,25.2,61.7,30.2,0
okra,flowering,33.4,64.7,30.0,1
tomato,fruiting,52.9,70.6,28.4,1
tomato,seedling,54.4,79.3,24.9,1
chili,flowering,23.9,69.6,30.9,1
chili,fruiting,31.2,95.2,22.6,1
chili,flowering,32.9,98.0,21.4,0
tomato,fruiting,88.0,81.6,27.2,0
okra,seedling,75.2,68.1,30.5,0
chili,flowering,39.2,53.3,31.8,1
tomato,seedling,52.9,66.8,32.5,0
okra,fruiting,33.9,68.4,31.7,1
okra,vegetative,23.3,66.7,32.8,1
chili,seedling,43.4,92.9,27.7,0
tomato,flowering,44.0,80.4,30.3,1
chili,flowering,43.8,68.3,33.9,0
chili,vegetative,22.6,70.9,28.0,1
tomato,vegetative,47.3,60.1,33.5,1
chili,seedling,47.1,66.5,32.1,0
okra,fruiting,55.1,67.8,29.7,1
tomato,seedling,63.8,80.5,28.2,0
okra,fruiting,31.5,89.5,24.2,1
tomato,flowering,70.0,86.7,21.3,0
okra,flowering,38.8,78.0,31.1,0
chili,flowering,53.9,65.5,33.1,0
tomato,fruiting,57.9,53.0,33.0,1
okra,seedling,30.7,68.6,31.4,1
tomato,fruiting,53.6,70.8,31.4,1
chili,seedling,50.1,69.2,34.0,0
tomato,fruiting,66.6,62.6,33.0,0
okra,vegetative,48.0,86.2,26.8,1
okra,fruiting,71.4,64.3,33.8,0
okra,seedling,64.1,87.5,20.3,0
chili,vegetative,41.4,46.5,36.4,0
chili,flowering,55.5,79.0,30.6,1
chili,fruiting,72.1,72.5,33.4,0
okra,seedling,77.4,72.8,30.8,0
okra,seedling,32.8,96.4,24.6,1
tomato,flowering,45.0,73.8,32.4,1
chili,seedling,65.8,76.3,30.4,0
tomato,fruiting,43.2,53.9,34.9,1
tomato,seedling,39.5,82.8,30.7,1
okra,fruiting,43.2,75.9,30.2,1
tomato,flowering,63.9,67.1,31.1,0
okra,fruiting,48.6,65.8,30.8,0
chili,seedling,35.9,73.6,30.3,1
tomato,vegetative,48.6,78.5,22.9,1
chili,vegetative,35.0,89.8,25.0,1
chili,seedling,32.7,76.7,25.6,1
okra,seedling,81.9,60.2,36.0,0
chili,vegetative,49.2,80.1,25.5,0
okra,flowering,62.4,77.9,27.1,0
okra,flowering,43.2,63.1,31.6,1
okra,seedling,47.4,70.8,30.2,0
chili,seedling,35.0,98.0,23.5,1
tomato,flowering,20.9,98.0,21.2,1
chili,vegetative,25.7,82.7,26.9,1
tomato,fruiting,32.7,71.2,30.4,1
chili,vegetative,13.5,73.1,32.1,1
okra,vegetative,33.3,86.3,27.6,1
chili,seedling,63.5,75.4,26.5,0
tomato,vegetative,57.4,68.3,31.5,0
chili,flowering,63.1,72.0,25.1,0
okra,vegetative,55.8,78.5,30.7,0
okra,flowering,61.0,84.6,30.9,0
tomato,seedling,45.4,66.7,32.6,1
chili,flowering,52.3,64.8,27.1,0
chili,vegetative,55.2,70.6,32.5,0
tomato,fruiting,49.9,56.3,34.0,1
tomato,vegetative,65.8,75.0,27.2,1
tomato,seedling,65.9,79.1,29.1,1
okra,flowering,42.3,79.2,28.0,0
okra,seedling,34.3,89.3,21.9,1
okra,fruiting,33.4,66.1,30.7,1
okra,vegetative,51.2,62.5,34.3,0
okra,fruiting,54.6,85.0,23.8,0
tomato,flowering,46.9,68.7,28.4,1
okra,vegetative,50.4,64.8,32.1,1
tomato,flowering,66.0,65.9,33.6,1
chili,seedling,53.7,88.4,23.1,0
chili,seedling,66.7,56.8,32.3,0
chili,fruiting,62.9,69.8,33.8,0
tomato,fruiting,44.0,44.3,33.6,0
tomato,fruiting,81.6,67.3,30.8,0
okra,vegetative,42.6,58.9,33.7,0
tomato,vegetative,72.6,78.4,28.0,0
tomato,vegetative,59.0,69.8,32.7,0
okra,flowering,44.2,73.0,32.9,0
tomato,flowering,32.7,87.9,21.8,1
okra,fruiting,47.6,98.0,21.1,0
okra,fruiting,28.2,70.5,31.3,1
chili,vegetative,58.5,53.8,32.7,0
tomato,flowering,79.2,75.4,34.2,0
tomato,flowering,46.8,74.1,25.3,1
tomato,fruiting,62.2,64.4,34.4,0
chili,vegetative,34.8,87.5,25.1,1
tomato,seedling,49.2,77.1,29.0,0
chili,vegetative,55.8,76.2,27.1,0
tomato,flowering,57.5,98.0,21.4,0
chili,fruiting,69.4,60.6,30.4,0
tomato,fruiting,51.2,72.5,29.8,0
okra,seedling,64.0,77.1,26.6,0
tomato,flowering,59.4,63.7,31.6,0
tomato,seedling,69.1,90.6,24.0,0
tomato,vegetative,51.7,80.2,29.9,0
okra,fruiting,49.3,63.2,32.7,0
tomato,fruiting,56.4,77.5,30.2,0
chili,seedling,33.3,68.2,31.8,1
chili,seedling,54.3,75.4,26.3,1
chili,flowering,54.1,86.6,23.6,0
okra,vegetative,58.3,62.3,33.2,0
okra,vegetative,71.5,62.1,32.2,1
chili,fruiting,65.3,83.6,26.8,0
okra,fruiting,44.8,94.0,22.0,0
tomato,fruiting,63.2,55.2,32.5,1
okra,fruiting,41.3,61.6,29.7,0
chili,fruiting,45.3,88.8,24.7,0
okra,flowering,41.6,57.8,33.6,0
okra,fruiting,72.7,86.0,25.4,0
okra,flowering,55.1,76.1,30.8,0
okra,seedling,46.9,76.3,24.9,0
chili,fruiting,61.7,59.5,31.3,0
tomato,fruiting,27.6,74.7,33.8,1
chili,vegetative,16.8,85.0,26.0,1
tomato,vegetative,69.1,67.6,30.8,0
okra,flowering,50.8,82.4,23.4,0
tomato,flowering,61.5,62.2,32.7,0
tomato,flowering,39.4,57.1,32.8,1
tomato,vegetative,57.7,76.2,31.0,1
chili,fruiting,73.0,77.3,25.9,0
chili,fruiting,56.5,87.5,27.1,0
okra,fruiting,52.4,65.4,31.7,0
chili,flowering,38.9,63.6,30.6,1
tomato,seedling,52.5,73.0,28.6,1
tomato,fruiting,28.2,68.7,24.2,1
tomato,seedling,61.6,81.6,26.0,1
chili,seedling,56.8,87.7,23.5,0
okra,vegetative,27.9,95.4,23.1,1
chili,seedling,35.7,59.7,29.8,0
okra,flowering,33.8,71.7,33.6,1
tomato,vegetative,44.5,98.0,21.5,0
tomato,seedling,58.7,70.9,34.2,1
okra,seedling,20.8,63.8,33.3,1
tomato,seedling,66.6,70.8,33.5,0
tomato,flowering,68.6,59.7,31.0,0
chili,fruiting,41.5,92.1,24.2,0
okra,vegetative,15.3,61.4,32.3,1
okra,seedling,36.1,69.1,26.7,1
tomato,flowering,75.3,64.6,30.0,0
okra,fruiting,12.0,64.4,33.3,1
okra,seedling,45.1,58.4,33.3,1
okra,fruiting,33.5,83.2,26.8,1
okra,seedling,61.3,61.9,29.2,0
tomato,vegetative,48.5,55.5,30.8,0
okra,flowering,55.7,98.0,20.8,0
tomato,seedling,65.9,65.3,35.4,0
okra,vegetative,75.7,79.3,24.3,0
chili,seedling,42.2,75.3,28.9,0
okra,seedling,55.3,70.5,33.6,0
chili,fruiting,24.2,96.3,21.6,1
chili,seedling,61.7,78.0,28.2,0
chili,seedling,34.4,79.9,30.1,0
okra,seedling,42.1,94.3,19.2,0
okra,seedling,49.7,62.3,34.2,0
tomato,flowering,36.1,67.8,31.8,1
okra,fruiting,53.2,64.4,32.5,0
chili,seedling,58.5,61.2,33.4,0
tomato,flowering,62.1,67.7,32.1,0
chili,vegetative,22.8,70.3,31.0,1
okra,seedling,48.3,66.1,29.6,0
okra,flowering,60.4,72.2,32.4,0
okra,seedling,23.7,85.4,22.1,1
chili,flowering,30.0,64.6,32.5,1
okra,flowering,62.3,76.6,27.5,0
chili,flowering,48.8,61.2,35.5,0
okra,seedling,55.8,49.5,33.3,1
chili,vegetative,71.0,77.7,30.4,0
tomato,flowering,64.6,62.8,32.0,0
tomato,fruiting,67.2,96.0,24.0,0
tomato,seedling,88.0,81.4,25.1,0
tomato,vegetative,55.0,66.1,32.4,1
chili,fruiting,33.8,88.2,29.1,1
chili,vegetative,51.0,91.3,21.7,0
tomato,vegetative,64.1,91.0,26.1,0
chili,fruiting,37.6,74.4,29.3,1
chili,fruiting,30.5,77.8,29.1,1
tomato,flowering,88.0,90.4,23.0,0
chili,flowering,49.6,68.8,33.8,0
chili,flowering,34.7,87.7,22.0,1
chili,vegetative,57.8,66.8,29.5,0
chili,fruiting,43.5,80.8,24.9,0
okra,seedling,46.5,65.9,32.9,0
tomato,seedling,65.9,71.2,29.9,0
chili,flowering,26.9,73.2,31.7,1
chili,fruiting,49.9,77.6,31.6,0
tomato,fruiting,84.8,80.9,23.9,0
okra,flowering,56.5,81.6,24.3,0
tomato,vegetative,52.7,76.8,24.2,0
